#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1891 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:32.80 aq:29.60 tex:231808 mv:28997 misc:1059 imb:891 pmb:2559 smb:150 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:32.46 aq:31.31 tex:45779 mv:21098 misc:3387 imb:98 pmb:1939 smb:1563 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:32.29 aq:32.79 tex:17213 mv:14754 misc:3057 imb:54 pmb:1246 smb:2300 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:32.63 aq:33.44 tex:6399 mv:7297 misc:2672 imb:4 pmb:770 smb:2826 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:33.89 aq:30.79 tex:170965 mv:27622 misc:1469 imb:783 pmb:2521 smb:296 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:33.34 aq:32.49 tex:32126 mv:17656 misc:3498 imb:46 pmb:1777 smb:1777 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:33.07 aq:34.24 tex:6384 mv:7700 misc:2524 imb:18 pmb:728 smb:2854 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:33.62 aq:34.44 tex:9576 mv:10060 misc:3212 imb:15 pmb:1112 smb:2473 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:34.87 aq:31.63 tex:177260 mv:26066 misc:1706 imb:860 pmb:2295 smb:445 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:34.38 aq:33.52 tex:29706 mv:14619 misc:3411 imb:37 pmb:1542 smb:2021 d:- ref:0 ;
